outcome,window,estimate,std.error,outcome_vars_labels,outcome_vars_labels2,outcome_vars_labels_regtable,outcome_vars_cat,ci95_lo,ci95_hi,ci99_lo,ci99_hi
vig_perc_offensive2,First 2 vignettes,0.07170145205713532,0.006135561746714523,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions,0.0596759720086532,0.08372693210561745,0.05589729231621438,0.08750561179805627
vig_perc_hate2,First 2 vignettes,0.051600032055565445,0.004276133518186927,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions,0.04321896436683452,0.05998109974429637,0.040585442033531906,0.06261462207759899
vig_remove,First 2 vignettes,0.060401515137226414,0.0046047682380421515,Remove post,Remove post,Remove<br>post,Actions,0.05137633523350984,0.069426695040943,0.048540418173626206,0.07226261210082663
vig_ban,First 2 vignettes,0.05153083609962845,0.0037658507093326333,Ban sender,Ban sender,Ban<br>sender,Actions,0.044149904338181875,0.05891176786107502,0.04183064748973904,0.061231024709517856
vig_legal,First 2 vignettes,0.03935048712023886,0.0037699571886491753,Legal action,Legal action,Legal<br>sanction,Actions,0.031961506807228604,0.04673946743324911,0.029639720920591483,0.04906125331988623
vig_job,First 2 vignettes,0.038423417388577956,0.0033462303725083358,Job loss,Job loss,Job<br>loss,Actions,0.03186492637448757,0.044981908402668344,0.029804099138645634,0.047042735638510275
vig_perc_offensive2,First 3 vignettes,0.07778796906870897,0.0049634947330459344,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions,0.06805969815448469,0.08751623998293324,0.06500285388731862,0.09057308425009931
vig_perc_hate2,First 3 vignettes,0.05366288784632584,0.003524772034859882,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions,0.046754461604286514,0.06057131408836517,0.044583676750604075,0.06274209894204762
vig_remove,First 3 vignettes,0.05989179754359204,0.0036904918854789213,Remove post,Remove post,Remove<br>post,Actions,0.052658566362816045,0.06712502872436804,0.050385720400466,0.06939787468671808
vig_ban,First 3 vignettes,0.04955076391430806,0.0030653107865771896,Ban sender,Ban sender,Ban<br>sender,Actions,0.04354286517119462,0.055558662657421494,0.041655046565758004,0.05744648126285811
vig_legal,First 3 vignettes,0.037923469879608165,0.0030015104436639933,Legal action,Legal action,Legal<br>sanction,Actions,0.032040617510805905,0.043806322248410426,0.030192091323910392,0.04565484843530594
vig_job,First 3 vignettes,0.036376465562704643,0.0026696467906861597,Job loss,Job loss,Job<br>loss,Actions,0.031144054001516833,0.041608877123892454,0.029499911129129957,0.04325301999627933
vig_perc_offensive2,All 8 vignettes,0.07329305238140506,0.0029667504541100917,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions,0.06747832834023143,0.07910777642257869,0.06565120962539128,0.08093489513741883
vig_perc_hate2,All 8 vignettes,0.060221396736151483,0.002154468461314104,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions,0.05599871614614842,0.06444407732615455,0.0546718537399267,0.06577093973237626
vig_remove,All 8 vignettes,0.06363386605460142,0.0022076315813116614,Remove post,Remove post,Remove<br>post,Actions,0.05930698766409735,0.06796074444510548,0.057947383936018844,0.06932034817318398
vig_ban,All 8 vignettes,0.052199234208617766,0.0018747364343275998,Ban sender,Ban sender,Ban<br>sender,Actions,0.04852481831683063,0.055873650100404904,0.047370233164645954,0.05702823525258958
vig_legal,All 8 vignettes,0.038704917870536745,0.0017676136685336155,Legal action,Legal action,Legal<br>sanction,Actions,0.03524045874163014,0.04216937699944335,0.034151846785774286,0.043257988955299205
vig_job,All 8 vignettes,0.039144628157456236,0.0015783484372855136,Job loss,Job loss,Job<br>loss,Actions,0.03605112206532155,0.04223813424959092,0.0350790720014856,0.04321018431342687
